左侧边界   ,,
,东向位移(m),北向位移(m)
1,0,1007.501251
2,3154.181328,5276.648195
3,8655.157244,14927.41465
4,10371.64335,17827.03779
5,12538.18496,20006.94569
6,14977.43922,20867.02611
7,16644.09058,20880.77321
8,23965.10102,23606.25271
9,26930.13775,24113.12386
10,29637.03472,22936.96605
11,30763.44882,21532.31974
12,30861.94671,20802.05995
,,
,,
,,
,,
右侧边界,,
,东向位移(m),北向位移(m)
1,1606.136861,0
2,1503.001748,64.74255572
3,1999.498333,1751.820309
4,4023.590081,3259.750547
5,5827.658652,6113.762703
6,6110.092198,8314.920638
7,9696.803875,14165.89827
8,11829.95659,16642.02121
9,17062.23702,19962.60025
10,24077.67258,22538.85331
11,27476.72102,22234.53169
12,29899.42541,20195.85731